Día de la semana,Hora de inicio,Hora de fin,Estación de origen,Estación de destino,Número de pasajeros,Nivel de congestión,Clima
Jueves,21:00,24:00,Av. Jiménez,Calle 72,68,Alta,Lluvioso
Miércoles,12:00,15:00,Portal Norte,Calle 72,20,Baja,Nublado
Viernes,15:00,18:00,Calle 72,Portal Norte,20,Baja,Lluvioso
Miércoles,9:00,12:00,Portal Sur,Calle 72,30,Baja,Soleado
Lunes,9:00,12:00,Portal Sur,Calle 26,57,Moderada,Lluvioso
Jueves,15:00,18:00,Calle 26,Calle 72,9,Baja,Soleado
Lunes,9:00,12:00,Portal Sur,Héroes,97,Alta,Lluvioso
Sábado,21:00,24:00,Calle 100,Héroes,64,Alta,Lluvioso
Jueves,21:00,24:00,Calle 72,Portal Norte,69,Alta,Lluvioso
Viernes,12:00,15:00,Av. Jiménez,Calle 100,40,Moderada,Nublado
Jueves,6:00,9:00,Calle 26,Portal Norte,38,Moderada,Soleado
Miércoles,21:00,24:00,Héroes,Calle 26,2,Baja,Nublado
Lunes,9:00,12:00,Portal Norte,Héroes,36,Baja,Soleado
Martes,9:00,12:00,Calle 100,Portal Norte,33,Baja,Soleado
Martes,18:00,21:00,Héroes,Calle 26,54,Moderada,Lluvioso
Jueves,12:00,15:00,Portal Norte,Av. Jiménez,94,Alta,Lluvioso
Jueves,9:00,12:00,Portal Sur,Héroes,2,Baja,Lluvioso
Martes,15:00,18:00,Héroes,Calle 72,73,Alta,Lluvioso
Lunes,12:00,15:00,Portal Sur,Calle 100,21,Baja,Nublado
Domingo,6:00,9:00,Calle 100,Héroes,14,Baja,Nublado
Domingo,6:00,9:00,Héroes,Calle 26,81,Alta,Nublado
Lunes,15:00,18:00,Calle 72,Portal Sur,20,Baja,Lluvioso
Domingo,15:00,18:00,Calle 72,Calle 26,94,Alta,Lluvioso
Lunes,18:00,21:00,Calle 26,Calle 100,3,Baja,Lluvioso
Domingo,15:00,18:00,Portal Norte,Calle 72,6,Baja,Lluvioso
Domingo,6:00,9:00,Calle 26,Héroes,36,Moderada,Soleado
Martes,12:00,15:00,Portal Norte,Calle 26,9,Baja,Lluvioso
Sábado,9:00,12:00,Calle 26,Calle 100,73,Alta,Soleado
Miércoles,18:00,21:00,Portal Sur,Calle 72,49,Moderada,Lluvioso
Sábado,6:00,9:00,Calle 72,Calle 100,71,Alta,Soleado
Jueves,21:00,24:00,Av. Jiménez,Héroes,81,Alta,Nublado
Jueves,21:00,24:00,Calle 100,Calle 72,22,Baja,Soleado
Sábado,21:00,24:00,Calle 72,Portal Norte,71,Alta,Soleado
Martes,9:00,12:00,Av. Jiménez,Héroes,40,Moderada,Nublado
Miércoles,9:00,12:00,Calle 100,Portal Sur,2,Baja,Nublado
Sábado,18:00,21:00,Av. Jiménez,Héroes,20,Baja,Nublado
Sábado,18:00,21:00,Calle 72,Portal Norte,68,Alta,Soleado
Lunes,15:00,18:00,Calle 100,Portal Norte,64,Alta,Soleado
Sábado,21:00,24:00,Héroes,Calle 100,49,Moderada,Lluvioso
Sábado,18:00,21:00,Calle 72,Portal Sur,22,Moderada,Soleado
Jueves,21:00,24:00,Portal Norte,Calle 100,5,Baja,Lluvioso
Martes,18:00,21:00,Av. Jiménez,Portal Norte,45,Moderada,Lluvioso
Martes,6:00,9:00,Calle 100,Héroes,27,Moderada,Soleado
Miércoles,12:00,15:00,Calle 72,Héroes,40,Moderada,Soleado
Domingo,9:00,12:00,Héroes,Portal Sur,8,Baja,Lluvioso
Viernes,9:00,12:00,Portal Sur,Portal Norte,33,Moderada,Soleado
Martes,12:00,15:00,Portal Sur,Calle 26,28,Moderada,Soleado
Martes,9:00,12:00,Av. Jiménez,Calle 26,21,Baja,Nublado
Martes,21:00,24:00,Héroes,Calle 72,5,Baja,Lluvioso
Martes,12:00,15:00,Calle 100,Av. Jiménez,30,Moderada,Soleado
Domingo,12:00,15:00,Calle 26,Calle 72,11,Baja,Lluvioso
Martes,21:00,24:00,Portal Sur,Héroes,16,Baja,Nublado
Lunes,15:00,18:00,Portal Norte,Calle 100,41,Moderada,Nublado
Viernes,15:00,18:00,Calle 26,Portal Norte,17,Baja,Nublado
Miércoles,6:00,9:00,Calle 72,Av. Jiménez,59,Moderada,Lluvioso
Sábado,12:00,15:00,Héroes,Portal Norte,70,Alta,Soleado
Domingo,18:00,21:00,Portal Norte,Calle 100,11,Baja,Nublado
Domingo,15:00,18:00,Calle 26,Av. Jiménez,44,Moderada,Lluvioso
Jueves,6:00,9:00,Calle 100,Héroes,19,Baja,Soleado
Miércoles,6:00,9:00,Héroes,Portal Norte,7,Baja,Lluvioso
Martes,6:00,9:00,Calle 72,Av. Jiménez,7,Baja,Nublado
Martes,9:00,12:00,Portal Sur,Calle 100,27,Moderada,Soleado
Martes,6:00,9:00,Av. Jiménez,Portal Norte,21,Moderada,Soleado
Viernes,15:00,18:00,Portal Sur,Calle 100,66,Alta,Soleado
Lunes,18:00,21:00,Calle 100,Av. Jiménez,41,Moderada,Nublado
Jueves,12:00,15:00,Calle 72,Calle 100,41,Moderada,Nublado
Sábado,12:00,15:00,Portal Sur,Av. Jiménez,10,Baja,Lluvioso
Miércoles,21:00,24:00,Portal Norte,Calle 100,62,Alta,Lluvioso
Lunes,6:00,9:00,Héroes,Av. Jiménez,41,Moderada,Nublado
Viernes,18:00,21:00,Calle 26,Av. Jiménez,66,Alta,Lluvioso
Domingo,15:00,18:00,Calle 26,Portal Sur,24,Moderada,Soleado
Viernes,18:00,21:00,Portal Norte,Calle 26,37,Baja,Soleado
Miércoles,12:00,15:00,Calle 72,Héroes,64,Alta,Soleado
Lunes,12:00,15:00,Calle 26,Héroes,29,Baja,Soleado
Miércoles,21:00,24:00,Calle 72,Calle 26,80,Alta,Nublado
Martes,18:00,21:00,Av. Jiménez,Portal Sur,59,Moderada,Lluvioso
Jueves,21:00,24:00,Av. Jiménez,Portal Norte,8,Baja,Nublado
Sábado,18:00,21:00,Calle 100,Portal Norte,8,Baja,Soleado
Domingo,15:00,18:00,Portal Norte,Calle 100,40,Moderada,Nublado
Viernes,21:00,24:00,Calle 100,Héroes,38,Moderada,Soleado
Jueves,9:00,12:00,Portal Norte,Calle 100,87,Alta,Lluvioso
Lunes,15:00,18:00,Portal Sur,Calle 72,41,Moderada,Nublado
Sábado,9:00,12:00,Av. Jiménez,Calle 100,17,Baja,Lluvioso
Jueves,6:00,9:00,Calle 100,Portal Sur,40,Moderada,Nublado
Lunes,6:00,9:00,Portal Sur,Portal Norte,41,Moderada,Nublado
Martes,12:00,15:00,Portal Sur,Portal Norte,41,Moderada,Lluvioso
Sábado,15:00,18:00,Portal Sur,Av. Jiménez,40,Moderada,Nublado
Jueves,6:00,9:00,Av. Jiménez,Portal Sur,6,Baja,Lluvioso
Martes,21:00,24:00,Portal Norte,Calle 72,31,Moderada,Soleado
Lunes,12:00,15:00,Calle 100,Portal Sur,26,Moderada,Soleado
Domingo,18:00,21:00,Héroes,Av. Jiménez,62,Alta,Soleado
Domingo,15:00,18:00,Calle 100,Portal Sur,65,Alta,Soleado
Sábado,15:00,18:00,Calle 100,Héroes,33,Moderada,Soleado
Domingo,18:00,21:00,Calle 100,Av. Jiménez,2,Baja,Nublado
Jueves,12:00,15:00,Av. Jiménez,Portal Sur,40,Moderada,Nublado
Jueves,9:00,12:00,Portal Norte,Av. Jiménez,27,Moderada,Soleado
Viernes,9:00,12:00,Portal Norte,Calle 26,11,Baja,Nublado
Miércoles,21:00,24:00,Héroes,Calle 100,10,Baja,Lluvioso
Martes,12:00,15:00,Calle 100,Héroes,16,Baja,Nublado
Viernes,21:00,24:00,Calle 26,Calle 72,97,Alta,Lluvioso
Lunes,6:00,9:00,Calle 26,Calle 100,41,Moderada,Nublado
Jueves,18:00,21:00,Calle 72,Portal Sur,4,Baja,Soleado
Miércoles,6:00,9:00,Héroes,Portal Sur,41,Moderada,Nublado
Miércoles,18:00,21:00,Calle 26,Portal Sur,61,Alta,Soleado
Lunes,18:00,21:00,Portal Norte,Calle 72,40,Moderada,Nublado
Sábado,21:00,24:00,Portal Norte,Calle 72,6,Baja,Soleado
Domingo,15:00,18:00,Portal Norte,Portal Sur,69,Alta,Lluvioso
Lunes,9:00,12:00,Portal Norte,Calle 26,81,Alta,Nublado
Domingo,6:00,9:00,Calle 100,Calle 72,21,Baja,Lluvioso
Sábado,9:00,12:00,Calle 100,Calle 72,40,Moderada,Nublado
Lunes,9:00,12:00,Calle 72,Portal Sur,98,Alta,Lluvioso
Domingo,21:00,24:00,Calle 72,Portal Norte,43,Moderada,Lluvioso
Domingo,21:00,24:00,Av. Jiménez,Calle 100,80,Alta,Nublado
Viernes,15:00,18:00,Calle 100,Calle 26,21,Baja,Nublado
Sábado,9:00,12:00,Calle 100,Portal Norte,81,Alta,Nublado
Martes,15:00,18:00,Av. Jiménez,Calle 100,4,Baja,Nublado
Viernes,12:00,15:00,Av. Jiménez,Héroes,81,Alta,Nublado
Domingo,15:00,18:00,Portal Sur,Héroes,46,Moderada,Lluvioso
Martes,21:00,24:00,Calle 72,Calle 26,41,Moderada,Nublado
Sábado,12:00,15:00,Av. Jiménez,Calle 26,10,Baja,Nublado
Domingo,21:00,24:00,Portal Sur,Calle 26,41,Moderada,Nublado
Miércoles,6:00,9:00,Héroes,Av. Jiménez,67,Alta,Lluvioso
Sábado,12:00,15:00,Héroes,Calle 26,21,Baja,Nublado
Martes,6:00,9:00,Calle 72,Portal Norte,2,Baja,Lluvioso
Martes,21:00,24:00,Portal Sur,Av. Jiménez,71,Alta,Soleado
Domingo,21:00,24:00,Héroes,Portal Norte,16,Baja,Soleado
Domingo,12:00,15:00,Portal Sur,Av. Jiménez,81,Alta,Nublado
Viernes,12:00,15:00,Portal Norte,Calle 100,68,Alta,Lluvioso
Domingo,21:00,24:00,Héroes,Av. Jiménez,37,Moderada,Soleado
Jueves,18:00,21:00,Calle 72,Calle 26,40,Moderada,Nublado
Sábado,18:00,21:00,Calle 26,Calle 72,2,Baja,Lluvioso
Domingo,21:00,24:00,Portal Norte,Calle 26,96,Alta,Lluvioso
Lunes,6:00,9:00,Portal Sur,Av. Jiménez,25,Moderada,Soleado
Martes,6:00,9:00,Calle 100,Portal Sur,1,Baja,Soleado
Viernes,6:00,9:00,Av. Jiménez,Calle 26,46,Moderada,Lluvioso
Sábado,9:00,12:00,Portal Norte,Calle 26,72,Alta,Soleado
Jueves,18:00,21:00,Calle 100,Portal Sur,16,Baja,Lluvioso
Domingo,6:00,9:00,Calle 26,Portal Sur,41,Moderada,Nublado
Viernes,18:00,21:00,Héroes,Av. Jiménez,28,Moderada,Soleado
Sábado,21:00,24:00,Calle 100,Héroes,80,Alta,Nublado
Sábado,18:00,21:00,Héroes,Av. Jiménez,21,Baja,Nublado
Jueves,21:00,24:00,Calle 100,Portal Sur,2,Baja,Nublado
Viernes,6:00,9:00,Héroes,Portal Sur,30,Moderada,Soleado
Jueves,12:00,15:00,Calle 26,Portal Sur,81,Alta,Nublado
Sábado,21:00,24:00,Calle 100,Calle 26,61,Alta,Lluvioso
Martes,18:00,21:00,Portal Sur,Calle 72,41,Moderada,Nublado
Domingo,15:00,18:00,Portal Sur,Av. Jiménez,67,Alta,Soleado
Miércoles,18:00,21:00,Héroes,Av. Jiménez,8,Baja,Lluvioso
Jueves,15:00,18:00,Portal Norte,Calle 100,45,Moderada,Lluvioso
Lunes,6:00,9:00,Calle 26,Av. Jiménez,3,Baja,Nublado
Lunes,12:00,15:00,Av. Jiménez,Calle 72,88,Alta,Lluvioso
Lunes,9:00,12:00,Av. Jiménez,Calle 72,85,Alta,Lluvioso
Lunes,21:00,24:00,Portal Norte,Av. Jiménez,41,Moderada,Nublado
Sábado,9:00,12:00,Portal Sur,Héroes,42,Moderada,Lluvioso
Martes,21:00,24:00,Calle 72,Calle 26,43,Moderada,Lluvioso
Jueves,6:00,9:00,Portal Norte,Calle 100,41,Moderada,Nublado
Lunes,6:00,9:00,Calle 72,Calle 100,28,Moderada,Soleado
Domingo,12:00,15:00,Calle 100,Portal Norte,12,Baja,Nublado
Lunes,12:00,15:00,Calle 26,Calle 100,29,Moderada,Soleado
Martes,21:00,24:00,Calle 72,Calle 100,80,Alta,Soleado
Miércoles,21:00,24:00,Av. Jiménez,Calle 72,0,Baja,Lluvioso
Viernes,15:00,18:00,Av. Jiménez,Calle 26,80,Alta,Nublado
Domingo,9:00,12:00,Calle 26,Calle 100,19,Baja,Soleado
Viernes,15:00,18:00,Portal Norte,Av. Jiménez,2,Baja,Soleado
Lunes,15:00,18:00,Av. Jiménez,Héroes,41,Moderada,Nublado
Lunes,21:00,24:00,Calle 26,Portal Sur,67,Alta,Soleado
Viernes,15:00,18:00,Calle 26,Portal Sur,30,Baja,Soleado
Domingo,9:00,12:00,Héroes,Portal Sur,46,Moderada,Lluvioso
Jueves,6:00,9:00,Portal Sur,Héroes,19,Baja,Soleado
Viernes,18:00,21:00,Calle 100,Portal Sur,3,Baja,Nublado
Martes,21:00,24:00,Calle 26,Calle 72,80,Alta,Nublado
Domingo,12:00,15:00,Portal Sur,Calle 72,80,Alta,Nublado
Martes,6:00,9:00,Héroes,Portal Norte,78,Alta,Soleado
Sábado,9:00,12:00,Portal Sur,Av. Jiménez,26,Baja,Soleado
Miércoles,12:00,15:00,Calle 26,Av. Jiménez,35,Moderada,Soleado
Jueves,18:00,21:00,Av. Jiménez,Portal Norte,81,Alta,Nublado
Viernes,12:00,15:00,Portal Sur,Av. Jiménez,31,Moderada,Soleado
Domingo,12:00,15:00,Av. Jiménez,Héroes,14,Baja,Nublado
Jueves,6:00,9:00,Calle 72,Héroes,80,Alta,Nublado
Domingo,21:00,24:00,Calle 26,Calle 100,41,Moderada,Nublado
Sábado,21:00,24:00,Portal Sur,Portal Norte,40,Moderada,Nublado
Martes,12:00,15:00,Calle 72,Av. Jiménez,29,Moderada,Soleado
Domingo,9:00,12:00,Calle 100,Héroes,1,Baja,Nublado
Sábado,15:00,18:00,Calle 26,Portal Norte,81,Alta,Nublado
Miércoles,6:00,9:00,Calle 72,Portal Sur,4,Baja,Lluvioso
Viernes,15:00,18:00,Calle 100,Héroes,17,Baja,Soleado
Viernes,9:00,12:00,Héroes,Calle 100,92,Alta,Lluvioso
Domingo,9:00,12:00,Portal Norte,Calle 72,81,Alta,Nublado
Jueves,15:00,18:00,Portal Sur,Calle 72,80,Alta,Nublado
Viernes,9:00,12:00,Héroes,Portal Norte,40,Moderada,Nublado
Martes,12:00,15:00,Calle 100,Portal Sur,0,Baja,Nublado
Domingo,18:00,21:00,Portal Sur,Portal Norte,54,Moderada,Lluvioso
Miércoles,18:00,21:00,Portal Sur,Av. Jiménez,2,Baja,Nublado
Domingo,18:00,21:00,Calle 100,Héroes,51,Moderada,Lluvioso
Sábado,18:00,21:00,Av. Jiménez,Héroes,74,Alta,Lluvioso
Martes,12:00,15:00,Calle 72,Calle 100,31,Moderada,Soleado
Lunes,18:00,21:00,Av. Jiménez,Portal Norte,44,Moderada,Lluvioso
Domingo,12:00,15:00,Av. Jiménez,Portal Norte,56,Moderada,Lluvioso
Viernes,21:00,24:00,Av. Jiménez,Calle 100,41,Moderada,Nublado
Lunes,6:00,9:00,Portal Norte,Av. Jiménez,80,Alta,Nublado
Martes,21:00,24:00,Héroes,Calle 100,80,Alta,Nublado
Miércoles,12:00,15:00,Calle 26,Portal Sur,15,Baja,Nublado
Jueves,12:00,15:00,Calle 72,Av. Jiménez,14,Baja,Soleado
Miércoles,9:00,12:00,Calle 26,Portal Norte,81,Alta,Nublado
Martes,21:00,24:00,Portal Sur,Calle 100,16,Baja,Soleado
Domingo,15:00,18:00,Héroes,Portal Norte,13,Baja,Nublado
Lunes,12:00,15:00,Calle 100,Av. Jiménez,7,Baja,Lluvioso
Miércoles,6:00,9:00,Portal Sur,Calle 100,29,Moderada,Soleado
Jueves,9:00,12:00,Av. Jiménez,Calle 72,41,Moderada,Nublado
Domingo,6:00,9:00,Calle 72,Héroes,79,Alta,Soleado
Martes,12:00,15:00,Portal Sur,Calle 72,18,Baja,Soleado
Sábado,15:00,18:00,Portal Norte,Av. Jiménez,33,Moderada,Soleado
Martes,6:00,9:00,Portal Norte,Calle 26,33,Moderada,Soleado
Jueves,6:00,9:00,Héroes,Calle 72,41,Moderada,Nublado
Sábado,21:00,24:00,Héroes,Av. Jiménez,76,Alta,Soleado
Domingo,21:00,24:00,Portal Norte,Calle 100,9,Baja,Soleado
Sábado,6:00,9:00,Héroes,Portal Sur,65,Alta,Soleado
Jueves,9:00,12:00,Calle 72,Héroes,5,Baja,Lluvioso
Martes,21:00,24:00,Portal Sur,Calle 100,63,Alta,Soleado
Lunes,18:00,21:00,Av. Jiménez,Portal Sur,77,Alta,Lluvioso
Lunes,15:00,18:00,Portal Sur,Calle 72,29,Baja,Soleado
Jueves,21:00,24:00,Héroes,Portal Sur,60,Moderada,Lluvioso
Jueves,21:00,24:00,Calle 100,Portal Norte,70,Alta,Soleado
Viernes,21:00,24:00,Portal Sur,Calle 72,77,Alta,Soleado
Martes,9:00,12:00,Héroes,Portal Norte,96,Alta,Lluvioso
Viernes,18:00,21:00,Calle 100,Portal Norte,55,Moderada,Lluvioso
Lunes,9:00,12:00,Calle 100,Calle 72,4,Baja,Lluvioso
Jueves,12:00,15:00,Av. Jiménez,Héroes,41,Moderada,Lluvioso
Martes,21:00,24:00,Calle 26,Calle 72,22,Baja,Soleado
Jueves,15:00,18:00,Calle 72,Portal Norte,13,Baja,Soleado
Jueves,6:00,9:00,Portal Norte,Héroes,62,Alta,Soleado
Domingo,6:00,9:00,Calle 26,Calle 72,64,Alta,Soleado
Miércoles,6:00,9:00,Calle 72,Portal Norte,15,Baja,Lluvioso
Domingo,18:00,21:00,Calle 72,Portal Sur,40,Moderada,Nublado
Domingo,21:00,24:00,Héroes,Av. Jiménez,81,Alta,Nublado
Lunes,18:00,21:00,Av. Jiménez,Portal Sur,57,Moderada,Lluvioso
Sábado,9:00,12:00,Av. Jiménez,Héroes,18,Baja,Nublado
Miércoles,15:00,18:00,Héroes,Calle 26,49,Moderada,Lluvioso
Domingo,9:00,12:00,Portal Sur,Calle 72,10,Baja,Nublado
Martes,12:00,15:00,Calle 26,Portal Sur,81,Alta,Nublado
Sábado,15:00,18:00,Calle 72,Av. Jiménez,12,Baja,Nublado
Jueves,6:00,9:00,Portal Sur,Héroes,61,Alta,Soleado
Domingo,12:00,15:00,Portal Norte,Calle 100,27,Moderada,Soleado
Lunes,12:00,15:00,Portal Sur,Calle 72,40,Moderada,Soleado
Sábado,12:00,15:00,Calle 100,Portal Sur,23,Moderada,Soleado
Lunes,18:00,21:00,Portal Norte,Calle 26,80,Alta,Nublado
Jueves,6:00,9:00,Calle 26,Héroes,66,Alta,Soleado
Jueves,18:00,21:00,Portal Norte,Portal Sur,7,Baja,Nublado
Sábado,9:00,12:00,Portal Sur,Portal Norte,0,Baja,Nublado
Domingo,6:00,9:00,Portal Norte,Calle 72,24,Moderada,Soleado
Sábado,15:00,18:00,Portal Norte,Portal Sur,41,Moderada,Nublado
Domingo,15:00,18:00,Calle 26,Av. Jiménez,0,Baja,Nublado
Jueves,18:00,21:00,Av. Jiménez,Calle 26,6,Baja,Nublado
Domingo,9:00,12:00,Portal Norte,Héroes,41,Moderada,Nublado
Miércoles,6:00,9:00,Calle 26,Calle 72,25,Moderada,Soleado
Martes,9:00,12:00,Portal Sur,Av. Jiménez,37,Baja,Soleado
Miércoles,6:00,9:00,Av. Jiménez,Portal Sur,41,Moderada,Nublado
Martes,18:00,21:00,Héroes,Calle 26,80,Alta,Nublado
Jueves,9:00,12:00,Calle 100,Portal Sur,17,Baja,Nublado
Sábado,18:00,21:00,Portal Norte,Héroes,6,Baja,Lluvioso
Martes,12:00,15:00,Av. Jiménez,Calle 26,40,Moderada,Lluvioso
Domingo,6:00,9:00,Calle 26,Calle 72,24,Moderada,Soleado
Jueves,21:00,24:00,Calle 72,Portal Norte,89,Alta,Lluvioso
Domingo,18:00,21:00,Av. Jiménez,Calle 72,0,Baja,Nublado
Viernes,15:00,18:00,Portal Sur,Calle 100,2,Baja,Nublado
Sábado,6:00,9:00,Portal Norte,Calle 26,35,Baja,Soleado
Sábado,9:00,12:00,Calle 26,Calle 72,88,Alta,Lluvioso
Viernes,6:00,9:00,Portal Norte,Av. Jiménez,31,Moderada,Soleado
Viernes,15:00,18:00,Av. Jiménez,Héroes,37,Moderada,Soleado
Martes,15:00,18:00,Calle 100,Calle 72,36,Moderada,Soleado
Sábado,6:00,9:00,Av. Jiménez,Portal Sur,1,Baja,Soleado
Martes,12:00,15:00,Héroes,Calle 100,35,Baja,Soleado
Martes,21:00,24:00,Portal Sur,Calle 26,66,Alta,Soleado
Viernes,21:00,24:00,Héroes,Calle 100,10,Baja,Nublado
Sábado,15:00,18:00,Portal Sur,Calle 100,40,Moderada,Nublado
Domingo,21:00,24:00,Portal Sur,Portal Norte,58,Moderada,Lluvioso
Martes,6:00,9:00,Calle 26,Portal Norte,63,Alta,Soleado
Sábado,12:00,15:00,Calle 26,Av. Jiménez,43,Moderada,Lluvioso
Martes,15:00,18:00,Calle 72,Portal Norte,9,Baja,Soleado
Viernes,12:00,15:00,Portal Norte,Calle 100,25,Moderada,Soleado
Domingo,6:00,9:00,Portal Norte,Calle 100,80,Alta,Nublado
Miércoles,21:00,24:00,Portal Norte,Calle 100,80,Alta,Nublado
Jueves,12:00,15:00,Av. Jiménez,Calle 72,0,Baja,Nublado
Martes,15:00,18:00,Av. Jiménez,Portal Sur,27,Moderada,Soleado
Domingo,9:00,12:00,Calle 72,Portal Norte,40,Moderada,Nublado
Lunes,15:00,18:00,Portal Norte,Calle 72,80,Alta,Nublado
Lunes,21:00,24:00,Portal Norte,Calle 72,53,Moderada,Lluvioso
Lunes,15:00,18:00,Av. Jiménez,Portal Sur,15,Baja,Lluvioso
Sábado,6:00,9:00,Portal Sur,Calle 72,41,Moderada,Nublado
Domingo,21:00,24:00,Calle 72,Calle 100,99,Alta,Lluvioso
Lunes,9:00,12:00,Calle 100,Calle 26,13,Baja,Lluvioso
Jueves,21:00,24:00,Calle 72,Portal Sur,81,Alta,Nublado
Sábado,21:00,24:00,Portal Sur,Calle 100,28,Moderada,Soleado
Jueves,6:00,9:00,Portal Norte,Av. Jiménez,40,Moderada,Nublado
Lunes,21:00,24:00,Portal Norte,Héroes,18,Baja,Lluvioso
Sábado,9:00,12:00,Héroes,Calle 72,47,Moderada,Lluvioso
Domingo,6:00,9:00,Portal Sur,Portal Norte,29,Moderada,Soleado
Lunes,9:00,12:00,Héroes,Calle 100,20,Baja,Lluvioso
Domingo,21:00,24:00,Portal Sur,Av. Jiménez,60,Alta,Lluvioso
Domingo,9:00,12:00,Héroes,Portal Sur,83,Alta,Lluvioso
Domingo,21:00,24:00,Av. Jiménez,Portal Norte,80,Alta,Nublado
Martes,9:00,12:00,Calle 72,Av. Jiménez,8,Baja,Lluvioso
Lunes,18:00,21:00,Héroes,Calle 72,48,Moderada,Lluvioso
Viernes,15:00,18:00,Portal Norte,Calle 72,21,Baja,Nublado
Lunes,18:00,21:00,Portal Norte,Héroes,79,Alta,Lluvioso
Miércoles,9:00,12:00,Portal Sur,Calle 26,15,Baja,Soleado
Jueves,9:00,12:00,Héroes,Calle 72,81,Alta,Nublado
Jueves,12:00,15:00,Calle 72,Héroes,44,Moderada,Lluvioso
Miércoles,15:00,18:00,Portal Norte,Av. Jiménez,14,Baja,Lluvioso
Lunes,18:00,21:00,Calle 100,Calle 26,65,Alta,Soleado
Sábado,18:00,21:00,Calle 100,Portal Norte,94,Alta,Lluvioso
Sábado,21:00,24:00,Portal Norte,Calle 26,80,Alta,Nublado
Domingo,21:00,24:00,Portal Norte,Calle 100,0,Baja,Nublado
Jueves,15:00,18:00,Av. Jiménez,Portal Norte,62,Alta,Soleado
Miércoles,18:00,21:00,Calle 26,Héroes,18,Baja,Lluvioso
Miércoles,21:00,24:00,Calle 100,Portal Norte,58,Moderada,Lluvioso
Domingo,9:00,12:00,Calle 72,Calle 100,7,Baja,Lluvioso
Sábado,15:00,18:00,Calle 100,Calle 72,27,Moderada,Soleado
Domingo,18:00,21:00,Héroes,Av. Jiménez,35,Moderada,Soleado
Lunes,15:00,18:00,Portal Norte,Héroes,34,Moderada,Soleado
Viernes,21:00,24:00,Portal Norte,Calle 100,40,Moderada,Nublado
Domingo,21:00,24:00,Héroes,Portal Norte,81,Alta,Nublado
Jueves,21:00,24:00,Av. Jiménez,Portal Norte,80,Alta,Nublado
Viernes,18:00,21:00,Héroes,Calle 72,88,Alta,Lluvioso
Lunes,12:00,15:00,Portal Sur,Calle 26,57,Moderada,Lluvioso
Miércoles,18:00,21:00,Portal Norte,Av. Jiménez,17,Baja,Lluvioso
Martes,21:00,24:00,Calle 72,Calle 100,33,Moderada,Soleado
Jueves,6:00,9:00,Portal Norte,Portal Sur,33,Baja,Soleado
Martes,18:00,21:00,Av. Jiménez,Calle 72,57,Moderada,Lluvioso
Viernes,6:00,9:00,Héroes,Portal Norte,41,Moderada,Nublado
Martes,21:00,24:00,Av. Jiménez,Portal Norte,6,Baja,Lluvioso
Miércoles,15:00,18:00,Héroes,Calle 26,26,Moderada,Soleado
Viernes,12:00,15:00,Portal Norte,Calle 100,17,Baja,Nublado
Viernes,15:00,18:00,Av. Jiménez,Calle 26,18,Baja,Nublado
Miércoles,15:00,18:00,Calle 26,Portal Norte,14,Baja,Lluvioso
Jueves,21:00,24:00,Calle 100,Av. Jiménez,74,Alta,Soleado
Viernes,12:00,15:00,Calle 26,Portal Norte,81,Alta,Nublado
Lunes,18:00,21:00,Portal Sur,Calle 100,18,Baja,Lluvioso
Martes,12:00,15:00,Portal Sur,Av. Jiménez,38,Baja,Soleado
Sábado,15:00,18:00,Calle 100,Portal Norte,11,Baja,Lluvioso
Jueves,9:00,12:00,Portal Norte,Calle 72,81,Alta,Nublado
Domingo,21:00,24:00,Calle 26,Calle 100,81,Alta,Nublado
Sábado,9:00,12:00,Calle 26,Av. Jiménez,40,Moderada,Nublado
Domingo,6:00,9:00,Calle 72,Portal Sur,24,Moderada,Soleado
Miércoles,18:00,21:00,Portal Norte,Portal Sur,27,Moderada,Soleado
Martes,18:00,21:00,Héroes,Calle 100,41,Moderada,Nublado
Lunes,18:00,21:00,Calle 100,Portal Norte,27,Moderada,Soleado
Lunes,9:00,12:00,Av. Jiménez,Calle 72,25,Baja,Soleado
Martes,12:00,15:00,Portal Norte,Calle 100,41,Moderada,Nublado
Martes,6:00,9:00,Portal Norte,Calle 100,80,Alta,Nublado
Lunes,12:00,15:00,Portal Norte,Portal Sur,49,Moderada,Lluvioso
Viernes,6:00,9:00,Calle 26,Calle 72,26,Baja,Soleado
Martes,9:00,12:00,Calle 72,Héroes,37,Baja,Soleado
Martes,18:00,21:00,Héroes,Calle 26,11,Baja,Lluvioso
Viernes,6:00,9:00,Calle 72,Calle 100,69,Alta,Soleado
Domingo,21:00,24:00,Portal Norte,Portal Sur,80,Alta,Nublado
Domingo,21:00,24:00,Héroes,Portal Norte,7,Baja,Nublado
Miércoles,21:00,24:00,Héroes,Portal Sur,11,Baja,Soleado
Domingo,15:00,18:00,Calle 72,Héroes,41,Moderada,Nublado
Sábado,12:00,15:00,Héroes,Av. Jiménez,27,Moderada,Soleado
Viernes,12:00,15:00,Portal Sur,Calle 100,71,Alta,Lluvioso
Miércoles,15:00,18:00,Av. Jiménez,Portal Norte,36,Baja,Soleado
Domingo,15:00,18:00,Calle 72,Portal Norte,20,Baja,Lluvioso
Miércoles,6:00,9:00,Av. Jiménez,Calle 100,58,Moderada,Lluvioso
Viernes,12:00,15:00,Calle 72,Calle 26,0,Baja,Lluvioso
